Survey period start date,Survey period end date,Mode,No. of observations,Mask worn correctly,Mask worn incorrectly,No mask,Total wearing a mask
3/21/2022,4/1/2022,Bus,70627,0.73,0.15,0.12,0.88
2/21/2022,3/4/2022,Bus,67678,0.77,0.17,0.07,0.93
1/24/2022,2/4/2022,Bus,43393,0.83,0.13,0.04,0.96
12/27/2021,1/7/2022,Bus,56788,0.87,0.1,0.03,0.97
11/29/2021,12/10/2021,Bus,73651,0.81,0.13,0.06,0.94
11/1/2021,11/12/2021,Bus,46632,0.8,0.14,0.06,0.94
10/4/2021,10/15/2021,Bus,38063,0.78,0.16,0.06,0.94
9/7/2021,9/17/2021,Bus,51633,0.81,0.14,0.06,0.94
8/9/2021,8/20/2021,Bus,38462,0.79,0.14,0.07,0.93
7/12/2021,7/23/2021,Bus,43815,0.77,0.15,0.08,0.92
6/14/2021,6/25/2021,Bus,50756,0.84,0.12,0.04,0.96
5/17/2021,5/28/2021,Bus,31970,0.89,0.09,0.02,0.98
4/19/2021,4/30/2021,Bus,53978,0.91,0.08,0.01,0.99
3/22/2021,4/2/2021,Bus,96800,0.92,0.07,0.01,0.99
2/22/2021,3/5/2021,Bus,103852,0.93,0.06,0.01,0.99
1/25/2021,2/5/2021,Bus,66673,0.92,0.07,0.01,0.99
1/4/2021,1/8/2021,Bus,64620,0.92,0.07,0.01,0.99
11/30/2020,12/11/2020,Bus,76780,0.92,0.07,0.01,0.99
11/2/2020,11/13/2020,Bus,62793,0.9,0.08,0.02,0.98
10/5/2020,10/16/2020,Bus,60773,0.88,0.1,0.02,0.98
9/7/2020,9/18/2020,Bus,57649,0.86,0.11,0.03,0.97
8/10/2020,8/21/2020,Bus,57437,0.83,0.13,0.04,0.96
7/13/2020,7/24/2020,Bus,47945,,,0.04,0.96
4/4/2022,4/15/2022,Subway,149690,0.64,0.13,0.23,0.77
3/7/2022,3/18/2022,Subway,230671,0.7,0.13,0.17,0.83
2/7/2022,2/18/2022,Subway,333758,0.78,0.14,0.08,0.92
1/10/2022,1/21/2022,Subway,198797,0.84,0.11,0.05,0.95
12/13/2021,12/24/2021,Subway,175053,0.79,0.13,0.08,0.92
11/15/2021,11/26/2021,Subway,233030,0.77,0.13,0.11,0.89
10/18/2021,10/29/2021,Subway,170073,0.77,0.13,0.1,0.9
9/20/2021,10/1/2021,Subway,173715,0.77,0.13,0.1,0.9
8/23/2021,9/3/2021,Subway,133027,0.74,0.13,0.13,0.87
7/26/2021,8/6/2021,Subway,118824,0.72,0.14,0.14,0.86
6/28/2021,7/9/2021,Subway,160624,0.71,0.15,0.14,0.86
6/1/2020,6/11/2021,Subway,154036,0.83,0.12,0.05,0.95
5/3/2021,5/14/2021,Subway,142489,0.88,0.09,0.02,0.98
4/5/2021,4/16/2021,Subway,129952,0.9,0.08,0.02,0.98
3/8/2021,3/19/2021,Subway,65905,0.88,0.1,0.02,0.98
2/1/2021,2/19/2021,Subway,108920,0.88,0.09,0.02,0.98
1/11/2021,1/22/2021,Subway,111785,0.87,0.1,0.03,0.97
12/14/2020,12/18/2020,Subway,65845,0.88,0.09,0.03,0.97
11/16/2020,11/20/2020,Subway,98420,0.86,0.11,0.03,0.97
10/19/2020,10/30/2020,Subway,75999,0.82,0.14,0.04,0.96
9/21/2020,10/2/2020,Subway,93221,0.8,0.14,0.05,0.95
8/24/2020,9/4/2020,Subway,41993,0.73,0.18,0.09,0.91
7/27/2020,8/7/2020,Subway,18077,0.66,0.22,0.13,0.87
6/15/2020,7/9/2020,Subway,124345,,,0.09,0.91
